ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_19698_f4bc1ef2,19698,NES012,NESPRESSO INSPIRAZIONE VENEZIA X10 NESPRESSO INSPIRAZIONE VENEZIA X 10,0.00,Dry Goods,NESPRESSO FRANCE,4.70,9.40
__export__.product_template_28477_c6d75bfc,28477,,NESPRESSO ISTANBUL X10CAP,0.00,All,,0.00,9.90
__export__.product_template_28080_6c3d1020,28080,,NESPRESSO LIVANTO X 10 CAP.,0.00,All,,0.00,8.99
__export__.product_template_24627_ecd1e88f,24627,NES020,NESPRESSO MACHINE MACHINE NESPRESSO,0.00,Non Food / Hygiene,NESPRESSO FRANCE,99.90,149.85
__export__.product_template_19699_2ee4c876,19699,NES018,NESPRESSO NAPOLI X 10 CAPSULES NESPRESSO NAPOLI X 10 CAPSULES,0.00,Dry Goods,NESPRESSO FRANCE,4.70,7.05
__export__.product_template_19695_d38765d7,19695,NES003,NESPRESSO RISTRETTO DECA X 10 CAPSULES NESPRESSO RISTRETTO DECA X 10 CAPSULES,0.00,Dry Goods,NESPRESSO FRANCE,4.80,8.90
__export__.product_template_19696_fa3c7a6f,19696,NES001,NESPRESSO RISTRETTO X 10 CAPSULES RISTRETTO NESPRESSO X 10 CAPSULES,0.00,Dry Goods,NESPRESSO FRANCE,4.30,8.90
__export__.product_template_19694_1c11bacf,19694,NES016,NESPRESSO ROMA X 10 CAPSULES NESPRESSO ROMA X 10 CAPSULES,0.00,Dry Goods,NESPRESSO FRANCE,4.30,8.99
__export__.product_template_28359_0086ea34,28359,NES021,NESPRESSO SELECTION DECOUVERTE 200 CAPSULES,0.00,All,,0.00,192.00
__export__.product_template_19701_6b86cadf,19701,NES015,NESPRESSO TOKYO LUNGO X 10CAP NESPRESSO TOKYO LUNGO X 10CAP,0.00,Dry Goods,NESPRESSO FRANCE,4.80,9.60
__export__.product_template_19700_2d9a7716,19700,NES014,NESPRESSO VANILIO X 10 CAPSULES NESPRESSO VANILIO X 10 CAPSULES,0.00,Dry Goods,NESPRESSO FRANCE,4.90,6.78
